#E [MeV]  E**2*dN/dE [erg/cm2/s]  Error on (E**2*dN/dE) [erg/cm2/s]   
  1.7027e+04    1.5461e-10    9.4094e-11 
  1.7110e+04    1.5460e-10    9.4196e-11 
  1.7192e+04    1.5458e-10    9.4298e-11 
  1.7275e+04    1.5456e-10    9.4400e-11 
  1.7358e+04    1.5454e-10    9.4501e-11 
  1.7442e+04    1.5452e-10    9.4602e-11 
  1.7526e+04    1.5449e-10    9.4703e-11 
  1.7611e+04    1.5447e-10    9.4803e-11 
  1.7695e+04    1.5445e-10    9.4902e-11 
  1.7781e+04    1.5442e-10    9.5002e-11 
  1.7866e+04    1.5440e-10    9.5100e-11 
  1.7953e+04    1.5438e-10    9.5199e-11 
  1.8039e+04    1.5435e-10    9.5296e-11 
  1.8126e+04    1.5432e-10    9.5394e-11 
  1.8214e+04    1.5429e-10    9.5490e-11 
  1.8301e+04    1.5427e-10    9.5586e-11 
  1.8390e+04    1.5424e-10    9.5682e-11 
  1.8478e+04    1.5421e-10    9.5776e-11 
  1.8567e+04    1.5418e-10    9.5874e-11 
  1.8657e+04    1.5415e-10    9.5971e-11 
  1.8747e+04    1.5413e-10    9.6069e-11 
  1.8837e+04    1.5410e-10    9.6165e-11 
  1.8928e+04    1.5407e-10    9.6262e-11 
  1.9019e+04    1.5404e-10    9.6358e-11 
  1.9111e+04    1.5402e-10    9.6453e-11 
  1.9203e+04    1.5399e-10    9.6548e-11 
  1.9296e+04    1.5396e-10    9.6643e-11 
  1.9389e+04    1.5392e-10    9.6737e-11 
  1.9482e+04    1.5389e-10    9.6830e-11 
  1.9576e+04    1.5386e-10    9.6923e-11 
  1.9671e+04    1.5382e-10    9.7015e-11 
  1.9766e+04    1.5379e-10    9.7107e-11 
  1.9861e+04    1.5375e-10    9.7198e-11 
  1.9957e+04    1.5372e-10    9.7288e-11 
  2.0053e+04    1.5368e-10    9.7378e-11 
  2.0150e+04    1.5364e-10    9.7467e-11 
  2.0247e+04    1.5360e-10    9.7555e-11 
  2.0344e+04    1.5356e-10    9.7643e-11 
  2.0442e+04    1.5352e-10    9.7730e-11 
  2.0541e+04    1.5348e-10    9.7816e-11 
  2.0640e+04    1.5343e-10    9.7901e-11 
  2.0740e+04    1.5339e-10    9.7985e-11 
  2.0840e+04    1.5334e-10    9.8069e-11 
  2.0940e+04    1.5330e-10    9.8155e-11 
  2.1041e+04    1.5326e-10    9.8243e-11 
  2.1143e+04    1.5322e-10    9.8331e-11 
  2.1244e+04    1.5318e-10    9.8418e-11 
  2.1347e+04    1.5313e-10    9.8504e-11 
  2.1450e+04    1.5309e-10    9.8590e-11 
  2.1553e+04    1.5305e-10    9.8676e-11 
  2.1657e+04    1.5300e-10    9.8760e-11 
  2.1762e+04    1.5296e-10    9.8844e-11 
  2.1867e+04    1.5291e-10    9.8928e-11 
  2.1972e+04    1.5286e-10    9.9010e-11 
  2.2078e+04    1.5282e-10    9.9092e-11 
  2.2184e+04    1.5277e-10    9.9173e-11 
  2.2291e+04    1.5272e-10    9.9254e-11 
  2.2399e+04    1.5266e-10    9.9334e-11 
  2.2507e+04    1.5261e-10    9.9412e-11 
  2.2615e+04    1.5256e-10    9.9491e-11 
  2.2724e+04    1.5250e-10    9.9568e-11 
  2.2834e+04    1.5245e-10    9.9644e-11 
  2.2944e+04    1.5239e-10    9.9720e-11 
  2.3055e+04    1.5233e-10    9.9794e-11 
  2.3166e+04    1.5227e-10    9.9868e-11 
  2.3278e+04    1.5221e-10    9.9941e-11 
  2.3390e+04    1.5215e-10    1.0001e-10 
  2.3503e+04    1.5208e-10    1.0008e-10 
  2.3616e+04    1.5202e-10    1.0015e-10 
  2.3730e+04    1.5196e-10    1.0023e-10 
  2.3844e+04    1.5191e-10    1.0031e-10 
  2.3959e+04    1.5185e-10    1.0038e-10 
  2.4075e+04    1.5179e-10    1.0045e-10 
  2.4191e+04    1.5173e-10    1.0053e-10 
  2.4308e+04    1.5167e-10    1.0060e-10 
  2.4425e+04    1.5160e-10    1.0067e-10 
  2.4543e+04    1.5154e-10    1.0074e-10 
  2.4661e+04    1.5148e-10    1.0081e-10 
  2.4780e+04    1.5141e-10    1.0088e-10 
  2.4899e+04    1.5134e-10    1.0094e-10 
  2.5019e+04    1.5127e-10    1.0101e-10 
  2.5140e+04    1.5120e-10    1.0108e-10 
  2.5261e+04    1.5113e-10    1.0114e-10 
  2.5383e+04    1.5106e-10    1.0120e-10 
  2.5505e+04    1.5099e-10    1.0127e-10 
  2.5628e+04    1.5091e-10    1.0133e-10 
  2.5752e+04    1.5083e-10    1.0139e-10 
  2.5876e+04    1.5076e-10    1.0145e-10 
  2.6001e+04    1.5068e-10    1.0151e-10 
  2.6126e+04    1.5060e-10    1.0157e-10 
  2.6252e+04    1.5051e-10    1.0162e-10 
  2.6379e+04    1.5043e-10    1.0168e-10 
  2.6506e+04    1.5034e-10    1.0173e-10 
  2.6634e+04    1.5026e-10    1.0178e-10 
  2.6762e+04    1.5017e-10    1.0184e-10 
  2.6891e+04    1.5008e-10    1.0189e-10 
  2.7021e+04    1.5000e-10    1.0194e-10 
  2.7151e+04    1.4991e-10    1.0200e-10 
  2.7282e+04    1.4982e-10    1.0205e-10 
  2.7414e+04    1.4973e-10    1.0209e-10 
  2.7546e+04    1.4963e-10    1.0214e-10 
  2.7679e+04    1.4954e-10    1.0219e-10 
  2.7812e+04    1.4944e-10    1.0223e-10 
  2.7946e+04    1.4934e-10    1.0228e-10 
  2.8081e+04    1.4924e-10    1.0232e-10 
  2.8216e+04    1.4914e-10    1.0236e-10 
  2.8353e+04    1.4903e-10    1.0240e-10 
  2.8489e+04    1.4893e-10    1.0244e-10 
  2.8627e+04    1.4882e-10    1.0247e-10 
  2.8765e+04    1.4871e-10    1.0251e-10 
  2.8903e+04    1.4860e-10    1.0254e-10 
  2.9043e+04    1.4848e-10    1.0257e-10 
  2.9183e+04    1.4837e-10    1.0260e-10 
  2.9323e+04    1.4825e-10    1.0263e-10 
  2.9465e+04    1.4813e-10    1.0266e-10 
  2.9607e+04    1.4801e-10    1.0269e-10 
  2.9750e+04    1.4788e-10    1.0271e-10 
  2.9893e+04    1.4775e-10    1.0273e-10 
  3.0037e+04    1.4762e-10    1.0275e-10 
  3.0182e+04    1.4751e-10    1.0278e-10 
  3.0328e+04    1.4740e-10    1.0281e-10 
  3.0474e+04    1.4728e-10    1.0284e-10 
  3.0621e+04    1.4717e-10    1.0288e-10 
  3.0769e+04    1.4705e-10    1.0290e-10 
  3.0917e+04    1.4694e-10    1.0293e-10 
  3.1066e+04    1.4682e-10    1.0296e-10 
  3.1216e+04    1.4670e-10    1.0298e-10 
  3.1366e+04    1.4658e-10    1.0301e-10 
  3.1518e+04    1.4645e-10    1.0303e-10 
  3.1669e+04    1.4633e-10    1.0305e-10 
  3.1822e+04    1.4620e-10    1.0307e-10 
  3.1976e+04    1.4607e-10    1.0309e-10 
  3.2130e+04    1.4594e-10    1.0311e-10 
  3.2285e+04    1.4581e-10    1.0312e-10 
  3.2440e+04    1.4567e-10    1.0313e-10 
  3.2597e+04    1.4553e-10    1.0315e-10 
  3.2754e+04    1.4540e-10    1.0316e-10 
  3.2912e+04    1.4525e-10    1.0316e-10 
  3.3071e+04    1.4511e-10    1.0317e-10 
  3.3230e+04    1.4497e-10    1.0318e-10 
  3.3390e+04    1.4482e-10    1.0318e-10 
  3.3551e+04    1.4467e-10    1.0318e-10 
  3.3713e+04    1.4452e-10    1.0318e-10 
  3.3876e+04    1.4436e-10    1.0318e-10 
  3.4039e+04    1.4421e-10    1.0318e-10 
  3.4203e+04    1.4408e-10    1.0319e-10 
  3.4368e+04    1.4394e-10    1.0320e-10 
  3.4534e+04    1.4380e-10    1.0321e-10 
  3.4700e+04    1.4366e-10    1.0322e-10 
  3.4868e+04    1.4352e-10    1.0322e-10 
  3.5036e+04    1.4338e-10    1.0323e-10 
  3.5205e+04    1.4323e-10    1.0323e-10 
  3.5374e+04    1.4308e-10    1.0323e-10 
  3.5545e+04    1.4294e-10    1.0323e-10 
  3.5716e+04    1.4279e-10    1.0323e-10 
  3.5889e+04    1.4263e-10    1.0322e-10 
  3.6062e+04    1.4248e-10    1.0322e-10 
  3.6236e+04    1.4232e-10    1.0321e-10 
  3.6410e+04    1.4216e-10    1.0320e-10 
  3.6586e+04    1.4200e-10    1.0319e-10 
  3.6762e+04    1.4184e-10    1.0318e-10 
  3.6940e+04    1.4168e-10    1.0317e-10 
  3.7118e+04    1.4151e-10    1.0315e-10 
  3.7297e+04    1.4134e-10    1.0314e-10 
  3.7477e+04    1.4117e-10    1.0312e-10 
  3.7657e+04    1.4100e-10    1.0310e-10 
  3.7839e+04    1.4083e-10    1.0308e-10 
  3.8021e+04    1.4065e-10    1.0305e-10 
  3.8205e+04    1.4047e-10    1.0303e-10 
  3.8389e+04    1.4029e-10    1.0300e-10 
  3.8574e+04    1.4013e-10    1.0298e-10 
  3.8760e+04    1.3996e-10    1.0297e-10 
  3.8947e+04    1.3980e-10    1.0295e-10 
  3.9135e+04    1.3963e-10    1.0293e-10 
  3.9323e+04    1.3946e-10    1.0291e-10 
  3.9513e+04    1.3929e-10    1.0289e-10 
  3.9703e+04    1.3912e-10    1.0287e-10 
  3.9895e+04    1.3894e-10    1.0284e-10 
  4.0087e+04    1.3877e-10    1.0282e-10 
  4.0281e+04    1.3859e-10    1.0279e-10 
  4.0475e+04    1.3841e-10    1.0276e-10 
  4.0670e+04    1.3823e-10    1.0273e-10 
  4.0866e+04    1.3804e-10    1.0270e-10 
  4.1063e+04    1.3786e-10    1.0266e-10 
  4.1261e+04    1.3767e-10    1.0263e-10 
  4.1460e+04    1.3748e-10    1.0259e-10 
  4.1660e+04    1.3729e-10    1.0255e-10 
  4.1861e+04    1.3710e-10    1.0251e-10 
  4.2063e+04    1.3690e-10    1.0246e-10 
  4.2266e+04    1.3670e-10    1.0242e-10 
  4.2469e+04    1.3650e-10    1.0237e-10 
  4.2674e+04    1.3630e-10    1.0232e-10 
  4.2880e+04    1.3610e-10    1.0227e-10 
  4.3087e+04    1.3589e-10    1.0222e-10 
  4.3294e+04    1.3569e-10    1.0216e-10 
  4.3503e+04    1.3548e-10    1.0211e-10 
  4.3713e+04    1.3528e-10    1.0206e-10 
  4.3924e+04    1.3507e-10    1.0200e-10 
  4.4136e+04    1.3486e-10    1.0195e-10 
  4.4348e+04    1.3465e-10    1.0189e-10 
  4.4562e+04    1.3444e-10    1.0183e-10 
  4.4777e+04    1.3422e-10    1.0177e-10 
  4.4993e+04    1.3401e-10    1.0171e-10 
  4.5210e+04    1.3379e-10    1.0164e-10 
  4.5428e+04    1.3357e-10    1.0157e-10 
  4.5647e+04    1.3335e-10    1.0150e-10 
  4.5867e+04    1.3312e-10    1.0143e-10 
  4.6088e+04    1.3289e-10    1.0136e-10 
  4.6310e+04    1.3266e-10    1.0129e-10 
  4.6534e+04    1.3243e-10    1.0121e-10 
  4.6758e+04    1.3220e-10    1.0113e-10 
  4.6984e+04    1.3196e-10    1.0105e-10 
  4.7210e+04    1.3172e-10    1.0096e-10 
  4.7438e+04    1.3148e-10    1.0088e-10 
  4.7667e+04    1.3124e-10    1.0079e-10 
  4.7896e+04    1.3100e-10    1.0070e-10 
  4.8127e+04    1.3075e-10    1.0061e-10 
  4.8359e+04    1.3050e-10    1.0051e-10 
  4.8593e+04    1.3024e-10    1.0042e-10 
  4.8827e+04    1.2999e-10    1.0032e-10 
  4.9062e+04    1.2974e-10    1.0022e-10 
  4.9299e+04    1.2951e-10    1.0014e-10 
  4.9537e+04    1.2927e-10    1.0006e-10 
  4.9775e+04    1.2904e-10    9.9974e-11 
  5.0015e+04    1.2880e-10    9.9887e-11 
  5.0257e+04    1.2856e-10    9.9798e-11 
  5.0499e+04    1.2832e-10    9.9707e-11 
  5.0742e+04    1.2808e-10    9.9614e-11 
  5.0987e+04    1.2783e-10    9.9520e-11 
  5.1233e+04    1.2758e-10    9.9423e-11 
  5.1480e+04    1.2733e-10    9.9324e-11 
  5.1728e+04    1.2708e-10    9.9224e-11 
  5.1978e+04    1.2683e-10    9.9121e-11 
  5.2228e+04    1.2657e-10    9.9017e-11 
  5.2480e+04    1.2632e-10    9.8910e-11 
  5.2733e+04    1.2606e-10    9.8802e-11 
  5.2988e+04    1.2579e-10    9.8691e-11 
  5.3243e+04    1.2553e-10    9.8578e-11 
  5.3500e+04    1.2526e-10    9.8464e-11 
  5.3758e+04    1.2499e-10    9.8347e-11 
  5.4017e+04    1.2472e-10    9.8228e-11 
  5.4277e+04    1.2445e-10    9.8107e-11 
  5.4539e+04    1.2418e-10    9.7983e-11 
  5.4802e+04    1.2390e-10    9.7858e-11 
  5.5066e+04    1.2362e-10    9.7731e-11 
  5.5332e+04    1.2334e-10    9.7601e-11 
  5.5599e+04    1.2307e-10    9.7483e-11 
  5.5867e+04    1.2280e-10    9.7364e-11 
  5.6136e+04    1.2253e-10    9.7243e-11 
  5.6407e+04    1.2226e-10    9.7119e-11 
  5.6679e+04    1.2199e-10    9.6994e-11 
  5.6952e+04    1.2171e-10    9.6867e-11 
  5.7227e+04    1.2144e-10    9.6738e-11 
  5.7503e+04    1.2116e-10    9.6607e-11 
  5.7780e+04    1.2088e-10    9.6474e-11 
  5.8059e+04    1.2059e-10    9.6339e-11 
  5.8339e+04    1.2031e-10    9.6202e-11 
  5.8620e+04    1.2002e-10    9.6063e-11 
  5.8902e+04    1.1973e-10    9.5922e-11 
  5.9187e+04    1.1944e-10    9.5778e-11 
  5.9472e+04    1.1915e-10    9.5633e-11 
  5.9759e+04    1.1885e-10    9.5485e-11 
  6.0047e+04    1.1855e-10    9.5335e-11 
  6.0336e+04    1.1825e-10    9.5184e-11 
  6.0627e+04    1.1795e-10    9.5030e-11 
  6.0920e+04    1.1765e-10    9.4874e-11 
  6.1213e+04    1.1734e-10    9.4715e-11 
  6.1509e+04    1.1703e-10    9.4555e-11 
  6.1805e+04    1.1672e-10    9.4392e-11 
  6.2103e+04    1.1641e-10    9.4227e-11 
  6.2403e+04    1.1610e-10    9.4060e-11 
  6.2703e+04    1.1579e-10    9.3897e-11 
  6.3006e+04    1.1548e-10    9.3736e-11 
  6.3310e+04    1.1517e-10    9.3572e-11 
  6.3615e+04    1.1486e-10    9.3407e-11 
  6.3922e+04    1.1455e-10    9.3239e-11 
  6.4230e+04    1.1423e-10    9.3070e-11 
  6.4540e+04    1.1392e-10    9.2898e-11 
  6.4851e+04    1.1360e-10    9.2724e-11 
  6.5164e+04    1.1328e-10    9.2548e-11 
  6.5478e+04    1.1296e-10    9.2370e-11 
  6.5793e+04    1.1263e-10    9.2189e-11 
  6.6111e+04    1.1230e-10    9.2007e-11 
  6.6429e+04    1.1198e-10    9.1822e-11 
  6.6750e+04    1.1164e-10    9.1635e-11 
  6.7072e+04    1.1131e-10    9.1446e-11 
  6.7395e+04    1.1098e-10    9.1255e-11 
  6.7720e+04    1.1064e-10    9.1061e-11 
  6.8047e+04    1.1030e-10    9.0865e-11 
  6.8375e+04    1.0996e-10    9.0667e-11 
  6.8704e+04    1.0962e-10    9.0467e-11 
  6.9036e+04    1.0927e-10    9.0265e-11 
  6.9369e+04    1.0892e-10    9.0060e-11 
  6.9703e+04    1.0857e-10    8.9853e-11 
  7.0039e+04    1.0822e-10    8.9644e-11 
  7.0377e+04    1.0787e-10    8.9433e-11 
  7.0716e+04    1.0750e-10    8.9211e-11 
  7.1057e+04    1.0711e-10    8.8967e-11 
  7.1400e+04    1.0672e-10    8.8720e-11 
  7.1744e+04    1.0632e-10    8.8471e-11 
  7.2090e+04    1.0592e-10    8.8219e-11 
  7.2438e+04    1.0552e-10    8.7964e-11 
  7.2787e+04    1.0511e-10    8.7706e-11 
  7.3138e+04    1.0471e-10    8.7446e-11 
  7.3491e+04    1.0430e-10    8.7183e-11 
  7.3845e+04    1.0389e-10    8.6917e-11 
  7.4201e+04    1.0347e-10    8.6648e-11 
  7.4559e+04    1.0305e-10    8.6377e-11 
  7.4918e+04    1.0264e-10    8.6103e-11 
  7.5280e+04    1.0221e-10    8.5826e-11 
  7.5643e+04    1.0179e-10    8.5547e-11 
  7.6007e+04    1.0136e-10    8.5264e-11 
  7.6374e+04    1.0093e-10    8.4979e-11 
  7.6742e+04    1.0050e-10    8.4691e-11 
  7.7112e+04    1.0006e-10    8.4401e-11 
  7.7484e+04    9.9627e-11    8.4107e-11 
  7.7858e+04    9.9187e-11    8.3811e-11 
  7.8233e+04    9.8745e-11    8.3512e-11 
  7.8610e+04    9.8300e-11    8.3211e-11 
  7.8989e+04    9.7853e-11    8.2906e-11 
  7.9370e+04    9.7403e-11    8.2599e-11 
  7.9753e+04    9.6951e-11    8.2289e-11 
  8.0137e+04    9.6512e-11    8.1990e-11 
  8.0524e+04    9.6072e-11    8.1688e-11 
  8.0912e+04    9.5630e-11    8.1385e-11 
  8.1302e+04    9.5185e-11    8.1078e-11 
  8.1694e+04    9.4739e-11    8.0770e-11 
  8.2088e+04    9.4289e-11    8.0458e-11 
  8.2484e+04    9.3838e-11    8.0144e-11 
  8.2882e+04    9.3384e-11    7.9827e-11 
  8.3281e+04    9.2929e-11    7.9508e-11 
  8.3683e+04    9.2471e-11    7.9186e-11 
  8.4086e+04    9.2010e-11    7.8862e-11 
  8.4492e+04    9.1548e-11    7.8535e-11 
  8.4899e+04    9.1083e-11    7.8205e-11 
  8.5309e+04    9.0617e-11    7.7873e-11 
  8.5720e+04    9.0148e-11    7.7539e-11 
  8.6133e+04    8.9677e-11    7.7202e-11 
  8.6549e+04    8.9203e-11    7.6862e-11 
  8.6966e+04    8.8728e-11    7.6520e-11 
  8.7385e+04    8.8251e-11    7.6175e-11 
  8.7807e+04    8.7771e-11    7.5828e-11 
  8.8230e+04    8.7290e-11    7.5478e-11 
  8.8656e+04    8.6806e-11    7.5125e-11 
  8.9083e+04    8.6321e-11    7.4771e-11 
  8.9513e+04    8.5833e-11    7.4413e-11 
  8.9944e+04    8.5344e-11    7.4054e-11 
  9.0378e+04    8.4861e-11    7.3699e-11 
  9.0814e+04    8.4382e-11    7.3347e-11 
  9.1252e+04    8.3902e-11    7.2993e-11 
  9.1692e+04    8.3419e-11    7.2637e-11 
  9.2134e+04    8.2935e-11    7.2278e-11 
  9.2578e+04    8.2449e-11    7.1917e-11 
  9.3024e+04    8.1961e-11    7.1554e-11 
  9.3473e+04    8.1472e-11    7.1188e-11 
  9.3924e+04    8.0981e-11    7.0821e-11 
  9.4377e+04    8.0488e-11    7.0451e-11 
  9.4832e+04    7.9993e-11    7.0079e-11 
  9.5289e+04    7.9497e-11    6.9704e-11 
  9.5748e+04    7.8999e-11    6.9328e-11 
  9.6210e+04    7.8500e-11    6.8949e-11 
  9.6674e+04    7.7999e-11    6.8569e-11 
  9.7140e+04    7.7497e-11    6.8186e-11 
  9.7609e+04    7.6993e-11    6.7801e-11 
  9.8079e+04    7.6488e-11    6.7414e-11 
  9.8552e+04    7.5981e-11    6.7025e-11 
  9.9027e+04    7.5473e-11    6.6634e-11 
  9.9505e+04    7.4963e-11    6.6241e-11 
  9.9985e+04    7.4452e-11    6.5846e-11 
  1.0047e+05    7.3940e-11    6.5449e-11 
  1.0095e+05    7.3426e-11    6.5050e-11 
  1.0144e+05    7.2911e-11    6.4649e-11 
  1.0193e+05    7.2398e-11    6.4249e-11 
  1.0242e+05    7.1893e-11    6.3855e-11 
  1.0291e+05    7.1386e-11    6.3460e-11 
  1.0341e+05    7.0879e-11    6.3062e-11 
  1.0391e+05    7.0370e-11    6.2663e-11 
  1.0441e+05    6.9861e-11    6.2263e-11 
  1.0491e+05    6.9350e-11    6.1860e-11 
  1.0542e+05    6.8839e-11    6.1456e-11 
  1.0593e+05    6.8326e-11    6.1051e-11 
  1.0644e+05    6.7813e-11    6.0643e-11 
  1.0695e+05    6.7298e-11    6.0235e-11 
  1.0747e+05    6.6783e-11    5.9824e-11 
  1.0798e+05    6.6267e-11    5.9412e-11 
  1.0850e+05    6.5751e-11    5.8999e-11 
  1.0903e+05    6.5233e-11    5.8584e-11 
  1.0955e+05    6.4715e-11    5.8168e-11 
  1.1008e+05    6.4196e-11    5.7751e-11 
  1.1061e+05    6.3677e-11    5.7332e-11 
  1.1115e+05    6.3157e-11    5.6912e-11 
  1.1168e+05    6.2636e-11    5.6490e-11 
  1.1222e+05    6.2115e-11    5.6068e-11 
  1.1276e+05    6.1594e-11    5.5644e-11 
  1.1331e+05    6.1072e-11    5.5219e-11 
  1.1385e+05    6.0550e-11    5.4792e-11 
  1.1440e+05    6.0027e-11    5.4365e-11 
  1.1495e+05    5.9504e-11    5.3937e-11 
  1.1551e+05    5.8946e-11    5.3475e-11 
  1.1606e+05    5.8384e-11    5.3010e-11 
  1.1662e+05    5.7822e-11    5.2543e-11 
  1.1719e+05    5.7259e-11    5.2076e-11 
  1.1775e+05    5.6697e-11    5.1608e-11 
  1.1832e+05    5.6134e-11    5.1138e-11 
  1.1889e+05    5.5572e-11    5.0668e-11 
  1.1946e+05    5.5009e-11    5.0197e-11 
  1.2004e+05    5.4447e-11    4.9726e-11 
  1.2062e+05    5.3885e-11    4.9253e-11 
  1.2120e+05    5.3323e-11    4.8780e-11 
  1.2178e+05    5.2762e-11    4.8307e-11 
  1.2237e+05    5.2201e-11    4.7833e-11 
  1.2296e+05    5.1640e-11    4.7358e-11 
  1.2355e+05    5.1080e-11    4.6883e-11 
  1.2415e+05    5.0520e-11    4.6408e-11 
  1.2475e+05    4.9961e-11    4.5933e-11 
  1.2535e+05    4.9403e-11    4.5457e-11 
  1.2595e+05    4.8845e-11    4.4981e-11 
  1.2656e+05    4.8288e-11    4.4505e-11 
  1.2717e+05    4.7732e-11    4.4029e-11 
  1.2778e+05    4.7177e-11    4.3553e-11 
  1.2840e+05    4.6623e-11    4.3077e-11 
  1.2902e+05    4.6070e-11    4.2601e-11 
  1.2964e+05    4.5518e-11    4.2125e-11 
  1.3027e+05    4.4990e-11    4.1670e-11 
  1.3089e+05    4.4477e-11    4.1229e-11 
  1.3153e+05    4.3966e-11    4.0789e-11 
  1.3216e+05    4.3457e-11    4.0349e-11 
  1.3280e+05    4.2948e-11    3.9910e-11 
  1.3344e+05    4.2441e-11    3.9471e-11 
  1.3408e+05    4.1935e-11    3.9032e-11 
  1.3473e+05    4.1430e-11    3.8594e-11 
  1.3538e+05    4.0927e-11    3.8156e-11 
  1.3603e+05    4.0425e-11    3.7719e-11 
  1.3669e+05    3.9925e-11    3.7283e-11 
  1.3735e+05    3.9427e-11    3.6848e-11 
  1.3801e+05    3.8930e-11    3.6413e-11 
  1.3867e+05    3.8435e-11    3.5979e-11 
  1.3934e+05    3.7941e-11    3.5546e-11 
  1.4001e+05    3.7450e-11    3.5114e-11 
  1.4069e+05    3.6960e-11    3.4683e-11 
  1.4137e+05    3.6472e-11    3.4253e-11 
  1.4205e+05    3.5987e-11    3.3824e-11 
  1.4273e+05    3.5503e-11    3.3397e-11 
  1.4342e+05    3.5021e-11    3.2970e-11 
  1.4411e+05    3.4541e-11    3.2545e-11 
  1.4481e+05    3.4064e-11    3.2121e-11 
  1.4551e+05    3.3589e-11    3.1699e-11 
  1.4621e+05    3.3116e-11    3.1277e-11 
  1.4691e+05    3.2653e-11    3.0865e-11 
  1.4762e+05    3.2211e-11    3.0472e-11 
  1.4833e+05    3.1772e-11    3.0080e-11 
  1.4905e+05    3.1334e-11    2.9690e-11 
  1.4977e+05    3.0899e-11    2.9301e-11 
  1.5049e+05    3.0466e-11    2.8914e-11 
  1.5122e+05    3.0035e-11    2.8528e-11 
  1.5194e+05    2.9607e-11    2.8144e-11 
  1.5268e+05    2.9181e-11    2.7761e-11 
  1.5341e+05    2.8757e-11    2.7380e-11 
  1.5415e+05    2.8337e-11    2.7001e-11 
  1.5490e+05    2.7918e-11    2.6623e-11 
  1.5564e+05    2.7502e-11    2.6248e-11 
  1.5639e+05    2.7089e-11    2.5874e-11 
  1.5715e+05    2.6678e-11    2.5502e-11 
  1.5791e+05    2.6270e-11    2.5132e-11 
  1.5867e+05    2.5865e-11    2.4764e-11 
  1.5943e+05    2.5463e-11    2.4399e-11 
  1.6020e+05    2.5063e-11    2.4035e-11 
  1.6097e+05    2.4666e-11    2.3673e-11 
  1.6175e+05    2.4272e-11    2.3313e-11 
  1.6253e+05    2.3881e-11    2.2956e-11 
  1.6331e+05    2.3493e-11    2.2601e-11 
  1.6410e+05    2.3108e-11    2.2248e-11 
  1.6489e+05    2.2726e-11    2.1897e-11 
  1.6569e+05    2.2347e-11    2.1549e-11 
  1.6649e+05    2.1988e-11    2.1220e-11 
  1.6729e+05    2.1633e-11    2.0894e-11 
  1.6810e+05    2.1281e-11    2.0570e-11 
  1.6891e+05    2.0931e-11    2.0248e-11 
  1.6972e+05    2.0584e-11    1.9928e-11 
  1.7054e+05    2.0240e-11    1.9610e-11 
  1.7136e+05    1.9900e-11    1.9295e-11 
  1.7219e+05    1.9562e-11    1.8983e-11 
  1.7302e+05    1.9227e-11    1.8672e-11 
  1.7385e+05    1.8895e-11    1.8364e-11 
  1.7469e+05    1.8566e-11    1.8059e-11 
  1.7553e+05    1.8240e-11    1.7755e-11 
  1.7638e+05    1.7917e-11    1.7455e-11 
  1.7723e+05    1.7597e-11    1.7157e-11 
  1.7808e+05    1.7280e-11    1.6861e-11 
  1.7894e+05    1.6967e-11    1.6568e-11 
  1.7981e+05    1.6656e-11    1.6277e-11 
  1.8067e+05    1.6349e-11    1.5990e-11 
  1.8154e+05    1.6045e-11    1.5704e-11 
  1.8242e+05    1.5744e-11    1.5422e-11 
  1.8330e+05    1.5446e-11    1.5142e-11 
  1.8418e+05    1.5151e-11    1.4865e-11 
  1.8507e+05    1.4860e-11    1.4590e-11 
  1.8596e+05    1.4572e-11    1.4318e-11 
  1.8686e+05    1.4287e-11    1.4049e-11 
  1.8776e+05    1.4002e-11    1.3780e-11 
  1.8867e+05    1.3719e-11    1.3512e-11 
  1.8958e+05    1.3440e-11    1.3247e-11 
  1.9049e+05    1.3164e-11    1.2985e-11 
  1.9141e+05    1.2891e-11    1.2726e-11 
  1.9233e+05    1.2622e-11    1.2470e-11 
  1.9326e+05    1.2356e-11    1.2217e-11 
  1.9419e+05    1.2094e-11    1.1967e-11 
  1.9513e+05    1.1835e-11    1.1719e-11 
  1.9607e+05    1.1579e-11    1.1475e-11 
  1.9701e+05    1.1327e-11    1.1234e-11 
  1.9796e+05    1.1078e-11    1.0995e-11 
  1.9892e+05    1.0833e-11    1.0760e-11 
  1.9988e+05    1.0591e-11    1.0528e-11 
  2.0084e+05    1.0352e-11    1.0298e-11 
  2.0181e+05    1.0117e-11    1.0072e-11 
  2.0278e+05    9.8851e-12    9.8490e-12 
  2.0376e+05    9.6567e-12    9.6289e-12 
  2.0474e+05    9.4318e-12    9.4117e-12 
  2.0573e+05    9.2101e-12    9.1976e-12 
  2.0672e+05    8.9919e-12    8.9866e-12 
  2.0772e+05    8.7771e-12    8.7785e-12 
  2.0872e+05    8.5656e-12    8.5736e-12 
  2.0973e+05    8.3575e-12    8.3716e-12 
  2.1074e+05    8.1527e-12    8.1727e-12 
  2.1175e+05    7.9574e-12    7.9830e-12 
  2.1278e+05    7.7765e-12    7.8074e-12 
  2.1380e+05    7.5983e-12    7.6344e-12 
  2.1483e+05    7.4229e-12    7.4638e-12 
  2.1587e+05    7.2502e-12    7.2957e-12 
  2.1691e+05    7.0803e-12    7.1301e-12 
  2.1795e+05    6.9130e-12    6.9670e-12 
  2.1901e+05    6.7485e-12    6.8063e-12 
  2.2006e+05    6.5866e-12    6.6481e-12 
  2.2112e+05    6.4274e-12    6.4923e-12 
  2.2219e+05    6.2709e-12    6.3390e-12 
  2.2326e+05    6.1170e-12    6.1881e-12 
