#E [MeV]  E**2*dN/dE [erg/cm2/s]  Error on (E**2*dN/dE) [erg/cm2/s]   
  1.0869e+03    1.5945e-10    3.8140e-11 
  1.0921e+03    1.5944e-10    3.8205e-11 
  1.0974e+03    1.5943e-10    3.8270e-11 
  1.1027e+03    1.5942e-10    3.8335e-11 
  1.1080e+03    1.5941e-10    3.8401e-11 
  1.1134e+03    1.5941e-10    3.8466e-11 
  1.1187e+03    1.5940e-10    3.8533e-11 
  1.1241e+03    1.5939e-10    3.8599e-11 
  1.1295e+03    1.5938e-10    3.8666e-11 
  1.1350e+03    1.5937e-10    3.8732e-11 
  1.1405e+03    1.5936e-10    3.8800e-11 
  1.1460e+03    1.5936e-10    3.8867e-11 
  1.1515e+03    1.5935e-10    3.8935e-11 
  1.1570e+03    1.5934e-10    3.9003e-11 
  1.1626e+03    1.5933e-10    3.9071e-11 
  1.1682e+03    1.5932e-10    3.9140e-11 
  1.1739e+03    1.5932e-10    3.9208e-11 
  1.1795e+03    1.5931e-10    3.9277e-11 
  1.1852e+03    1.5930e-10    3.9347e-11 
  1.1909e+03    1.5929e-10    3.9416e-11 
  1.1967e+03    1.5928e-10    3.9486e-11 
  1.2024e+03    1.5928e-10    3.9556e-11 
  1.2082e+03    1.5927e-10    3.9626e-11 
  1.2141e+03    1.5926e-10    3.9697e-11 
  1.2199e+03    1.5925e-10    3.9768e-11 
  1.2258e+03    1.5924e-10    3.9839e-11 
  1.2317e+03    1.5923e-10    3.9910e-11 
  1.2376e+03    1.5923e-10    3.9982e-11 
  1.2436e+03    1.5922e-10    4.0053e-11 
  1.2496e+03    1.5921e-10    4.0125e-11 
  1.2556e+03    1.5920e-10    4.0198e-11 
  1.2617e+03    1.5919e-10    4.0270e-11 
  1.2678e+03    1.5919e-10    4.0343e-11 
  1.2739e+03    1.5918e-10    4.0416e-11 
  1.2800e+03    1.5917e-10    4.0489e-11 
  1.2862e+03    1.5916e-10    4.0562e-11 
